Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
0,005930,KR7005930003,삼성전자,KOSPI,,335000,1,36000,12.04,326000,339000,325000,17830779,5922222820250,1958503333680000,5846278608,STK,,통신 및 방송 장비 제조업
1,000660,KR7000660001,SK하이닉스,KOSPI,,2275000,1,174000,8.28,2281000,2304000,2241000,2447687,5573468117000,1621397880375000,712702365,STK,,반도체 제조업
2,402340,KR7402340004,SK스퀘어,KOSPI,,1406000,1,178000,14.5,1349000,1407000,1315000,695587,950804274000,185533490716000,131958386,STK,,기타 금융업
3,005935,KR7005931001,삼성전자우,KOSPI,,213500,1,20000,10.34,206000,215000,205000,2884414,608921457750,171306251840500,802371203,STK,,
4,009150,KR7009150004,삼성전기,KOSPI,,1809000,1,4000,0.22,1965000,1991000,1805000,985062,1868641396500,135120896064000,74693696,STK,,전자부품 제조업
5,005380,KR7005380001,현대차,KOSPI,,634000,1,37000,6.2,635000,644000,625000,682495,432289471000,129816423644000,204757766,STK,,자동차용 엔진 및 자동차 제조업
6,373220,KR7373220003,LG에너지솔루션,KOSPI,,404000,1,19500,5.07,399500,414000,394000,237422,95917814250,94536000000000,234000000,STK,,일차전지 및 이차전지 제조업
7,032830,KR7032830002,삼성생명,KOSPI,,397500,1,32500,8.9,392500,406500,383000,170192,67301870250,79500000000000,200000000,STK,,보험업
8,028260,KR7028260008,삼성물산,KOSPI,,441000,1,31000,7.56,440000,460500,435000,352199,156724541500,71515903221000,162167581,STK,,기타 전문 도매업
9,329180,KR7329180004,HD현대중공업,KOSPI,,660000,1,14000,2.17,667000,678000,651000,223187,147940898500,69274408500000,104961225,STK,,선박 및 보트 건조업
10,000270,KR7000270009,기아,KOSPI,,168100,1,12100,7.76,162800,168900,160800,975683,161032119600,65628424963800,390412998,STK,,자동차용 엔진 및 자동차 제조업
11,207940,KR7207940008,삼성바이오로직스,KOSPI,,1317000,1,31000,2.41,1320000,1326000,1291000,22716,29736337500,60965182467000,46290951,STK,,기초 의약물질 제조업
12,034020,KR7034020008,두산에너빌리티,KOSPI,,93800,1,5200,5.87,93300,95000,92400,1511272,141496815200,60084635494800,640561146,STK,,일반 목적용 기계 제조업
